MONTH,SECTOR,DISTRICT,PSU,HUNIT,HHOLD,SERNO,SEX,BYEAR,BMONTH,AGE,EDU,CUEDU,P21,Q2,Q4,Q6_A,Q47,Q48,Q50,Q51,Q52,employment_status
1,Urban,Colombo,1,2,1,2,Male,1993,4.0,29, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Urban,Colombo,1,6,1,3,Male,2003,3.0,19,Passed Grade 5,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,4.0,Not in Labour Force
1,Urban,Colombo,1,6,1,4,Male,2006,3.0,16,Passed Grade 7,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,1,10,1,2,Male,2007,7.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,2,8,1,2,Female,1999,11.0,23,Degree ,Other Educational Institution,Not studying,1.0,,,,,,,,Employed
1,Rural,Colombo,3,9,1,3,Male,2002,7.0,20, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Rural,Colombo,3,9,1,4,Male,2005,10.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,5,8,1,2,Male,1995,12.0,27, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Urban,Colombo,6,2,1,3,Male,2004,2.0,18, Passed G.C.E.(A/L)/ H.N.C.E. ,University,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,6,2,1,4,Male,2005,7.0,17, Passed G.C.E.(A/L)/ H.N.C.E. ,University,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Rural,Colombo,8,6,1,3,Male,1996,5.0,26,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Rural,Colombo,8,6,1,4,Male,1998,2.0,24,Passed Grade 9,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Estate,Colombo,9,4,1,3,Male,1996,5.0,26,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Estate,Colombo,9,4,1,4,Male,2001,6.0,21,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Urban,Colombo,13,3,1,3,Male,2000,7.0,22,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Urban,Colombo,13,3,1,4,Female,2003,9.0,19,Passed Grade 10,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,9.0,Not in Labour Force
1,Urban,Colombo,13,3,1,5,Female,2002,9.0,20,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
1,Urban,Colombo,13,7,1,4,Male,1999,2.0,23,Passed Grade 10,Does not attend,Not studying,1.0,,,,,,,,Employed
1,Urban,Colombo,13,7,1,5,Female,2003,4.0,19,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed
1,Urban,Colombo,14,6,1,3,Female,1995,9.0,27,Passed G.C.E.(O/L)/ N.C.G.E. ,Does not attend,Not studying,2.0,2.0,2.0,2.0,,,,2.0,Not in Labour Force
1,Urban,Colombo,14,6,1,6,Male,2006,11.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,15,5,1,3,Male,2007,1.0,16,Passed Grade 10,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,16,5,1,3,Male,1993,12.0,29, Passed G.C.E.(A/L)/ H.N.C.E. ,Other Educational Institution,Currently studying/training,1.0,,,,,,,,Employed
1,Urban,Colombo,16,10,1,3,Male,2004,6.0,18,Passed Grade 10,Vocational / Technical Institution,Currently studying/training,1.0,,,,,,,,Employed
1,Urban,Colombo,18,2,1,3,Female,2005,7.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,18,10,1,3,Female,2001,9.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed
1,Urban,Colombo,19,4,1,3,Female,2005,3.0,17,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,19,4,1,5,Female,1997,2.0,25, Passed G.C.E.(A/L)/ H.N.C.E. ,Other Educational Institution,Currently studying/training,1.0,,,,,,,,Employed
1,Urban,Colombo,20,4,1,7,Male,2007,7.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,20,8,1,3,Female,2007,3.0,15,Passed Grade 9,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
1,Urban,Colombo,21,8,1,4,Male,2004,12.0,18,Passed Grade 10,Vocational / Technical Institution,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
2,Urban,Colombo,23,5,1,3,Male,2004,3.0,18,Passed Grade 12,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
2,Urban,Colombo,24,1,1,3,Female,1995,5.0,27, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,1.0,,,,,,,,Employed
2,Urban,Colombo,24,1,1,4,Female,1998,8.0,24, Passed G.C.E.(A/L)/ H.N.C.E. ,University,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
2,Rural,Colombo,25,1,1,3,Male,2001,5.0,21, Passed G.C.E.(A/L)/ H.N.C.E. ,Does not attend,Not studying,2.0,2.0,2.0,1.0,1.0,,1.0,,Unemployed
2,Rural,Colombo,25,1,1,4,Male,2004,6.0,18,Passed G.C.E.(O/L)/ N.C.G.E. ,School,Currently studying/training,2.0,2.0,2.0,2.0,,,,1.0,Not in Labour Force
